Ubicación,Precio,Detalles
Piso en zurron  12  Timón  Madrid,"895€/mes
Garaje incluido",2 hab. 69 m² Bajo exterior con ascensor 19 horas
Piso en calle de García de Paredes  Almagro  Madrid,4.800€/mes,3 hab. 149 m² Planta 1ª exterior con ascensor
Ático en calle del Olmo  25  Lavapiés-Embajadores  Madrid,1.800€/mes,3 hab. 70 m² Planta 4ª exterior sin ascensor 18 horas
Dúplex en calle de San Bernardo  Malasaña-Universidad  Madrid,4.100€/mes,2 hab. 88 m² Planta 4ª exterior con ascensor 22 horas
Dúplex en plaza de Tuy  Pilar  Madrid,1.800€/mes,3 hab. 120 m² Entreplanta exterior con ascensor 3 horas
Piso en Lista  Madrid,2.500€/mes,2 hab. 95 m² Planta 2ª exterior con ascensor
Piso en paseo de Extremadura  Puerta del Ángel  Madrid,990€/mes,2 hab. 32 m² Planta 2ª exterior sin ascensor 19 horas
Piso en Recoletos  Madrid,"3.800€/mes
Garaje incluido",3 hab. 145 m² Planta 3ª exterior con ascensor
Piso en plaza de las Cortes  Huertas-Cortes  Madrid,1.500€/mes,1 hab. 70 m² Planta 5ª exterior con ascensor 19 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,2.190€/mes,3 hab. 80 m² Planta 4ª exterior con ascensor
Piso en Huertas-Cortes  Madrid,1.800€/mes,1 hab. 65 m² Planta 6ª exterior con ascensor 19 horas
Piso en Almagro  Madrid,1.900€/mes,1 hab. 95 m² Entreplanta exterior con ascensor
Piso en calle Marmolistas  Arcos  Madrid,930€/mes,3 hab. 68 m² Bajo exterior sin ascensor 19 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,"3.900€/mes
Garaje incluido",4 hab. 215 m² Planta 3ª exterior con ascensor
Piso en calle San Valero  Numancia  Madrid,900€/mes,3 hab. 64 m² Planta 4ª exterior sin ascensor 19 horas
Ático en calle Archiduque Alberto  23  Sanchinarro  Madrid,"1.120€/mes
Garaje incluido",1 hab. 64 m² Planta 6ª exterior con ascensor 23 horas
Piso en calle de Manuel Maroto  San Diego  Madrid,830€/mes,2 hab. 56 m² Planta 3ª exterior sin ascensor 19 horas
Piso en calle Alcalde Sáenz de Baranda  Ibiza  Madrid,"2.700€/mes
Garaje incluido",4 hab. 157 m² Planta 2ª exterior con ascensor
Piso en avenida de América  Prosperidad  Madrid,2.400€/mes,2 hab. 94 m² Planta 4ª exterior con ascensor 19 horas
Casa o chalet independiente en calle de Arévalo Lara  Salvador  Madrid,"2.700€/mes
Garaje incluido",4 hab. 200 m² 04 sep
Piso en calle Manuel María Iglesias  San Juan Bautista  Madrid,"3.800€/mes
Garaje incluido",5 hab. 214 m² Planta 2ª exterior con ascensor 19 horas
Piso en calle de Hermosilla  Goya  Madrid,1.365€/mes,2 hab. 56 m² Planta 1ª interior con ascensor
Piso en Soto Hidalgo  4  Alameda de Osuna  Madrid,"1.400€/mes
Garaje incluido",4 hab. 126 m² Planta 4ª exterior con ascensor 19 horas
Piso en calle de Cartagena  Guindalera  Madrid,1.300€/mes,1 hab. 79 m² Planta 4ª exterior con ascensor
Piso en calle Santiago Cuende  5  Puerta Bonita  Madrid,850€/mes,2 hab. 55 m² Bajo exterior sin ascensor 19 horas
Piso en calle de Diego de León  Castellana  Madrid,"3.300€/mes
Garaje opc. 100 €/mes",3 hab. 169 m² Planta 6ª exterior con ascensor
Casa o chalet independiente en Conde Orgaz-Piovera  Madrid,"10.000€/mes
Garaje incluido",6 hab. 447 m² 19 horas
Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,"1.215€/mes
Garaje incluido",2 hab. 76 m² Planta 3ª con ascensor 04 sep
Piso en Peñagrande  Madrid,"3.200€/mes
Garaje incluido",4 hab. 238 m² Planta 6ª exterior con ascensor 19 horas
Ático en plaza de Juan Zorrilla  Vallehermoso  Madrid,2.300€/mes,3 hab. 138 m² Planta 7ª exterior con ascensor
