,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
0,Piso en calle de Jesús y María  LavapiésEmbajadores  Madrid,1200,2 hab 65 m con ascensor 2 minutos,Piso,"Embajadores, Madrid",2 hab, 65 m
1,Piso en calle de Cardenal Mendoza  Puerta del Ángel  Madrid,1100,1 hab 65 m Bajo exterior con ascensor 10 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 65 m
2,Piso en calle del Olivar  44  LavapiésEmbajadores  Madrid,1200,2 hab 56 m Planta 2 exterior sin ascensor 2 minutos,Piso,"Embajadores, Madrid",2 hab, 56 m
3,Piso en calle Solana de Luche  Puerta del Ángel  Madrid,1350,3 hab 70 m Planta 2 exterior sin ascensor 10 horas,Piso,"Puerta del Ángel, Madrid",3 hab, 70 m
4,Piso en Atlético de Madrid 2  2  Puerta Bonita  Madrid,650,2 hab 53 m Planta 1 exterior sin ascensor 4 minutos,Piso,"Puerta Bonita, Madrid",2 hab, 53 m
5,Piso en calle industria  Puerta del Ángel  Madrid,1050,1 hab 50 m Planta 2 exterior con ascensor 10 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 50 m
6,Piso en calle de San Vicente Ferrer  MalasañaUniversidad  Madrid,950,1 hab 48 m Bajo exterior sin ascensor 3 minutos,Piso,"Universidad, Madrid",1 hab, 48 m
7,Piso en calle industria  Puerta del Ángel  Madrid,1050,1 hab 50 m Planta 1 exterior con ascensor 10 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 50 m
8,Piso en Nuevos MinisteriosRíos Rosas  Madrid,3900,4 hab 210 m Planta 3 exterior con ascensor 7 minutos,Piso,"Ríos Rosas, Madrid",4 hab, 210 m
9,Piso en Blasco de Garay  Arapiles  Madrid,1900,2 hab 92 m Planta 6 exterior con ascensor,Piso,"Arapiles, Madrid",2 hab, 92 m
10,Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,1225,2 hab 76 m Planta 5 con ascensor 10 minutos,Piso,"Sanchinarro, Madrid",2 hab, 76 m
11,Piso en calle Minas  7  MalasañaUniversidad  Madrid,950,2 hab 50 m Planta 2 interior sin ascensor,Piso,"Universidad, Madrid",2 hab, 50 m
12,Piso en Berruguete  Berruguete  Madrid,915,2 hab 40 m Planta 2 interior sin ascensor 20 minutos,Piso,"Berruguete, Madrid",2 hab, 40 m
13,Piso en Recoletos  Madrid,2700,2 hab 135 m Planta 3 exterior con ascensor,Piso,"Recoletos, Madrid",2 hab, 135 m
14,Piso en calle de Carranza  4  Trafalgar  Madrid,850,1 hab 30 m Planta 1 interior sin ascensor 24 minutos,Piso,"Trafalgar, Madrid",1 hab, 30 m
