Ubicación,Precio,Detalles
Piso en calle de Jesús y María  Lavapiés-Embajadores  Madrid,1.200€/mes,2 hab. 65 m² con ascensor 2 minutos
Piso en calle de Cardenal Mendoza  Puerta del Ángel  Madrid,1.100€/mes,1 hab. 65 m² Bajo exterior con ascensor 10 horas
Piso en calle del Olivar  44  Lavapiés-Embajadores  Madrid,1.200€/mes,2 hab. 56 m² Planta 2ª exterior sin ascensor 2 minutos
Piso en calle Solana de Luche  Puerta del Ángel  Madrid,1.350€/mes,3 hab. 70 m² Planta 2ª exterior sin ascensor 10 horas
Piso en Atlético de Madrid 2  2  Puerta Bonita  Madrid,650€/mes,2 hab. 53 m² Planta 1ª exterior sin ascensor 4 minutos
Piso en calle industria  Puerta del Ángel  Madrid,1.050€/mes,1 hab. 50 m² Planta 2ª exterior con ascensor 10 horas
Piso en calle de San Vicente Ferrer  Malasaña-Universidad  Madrid,950€/mes,1 hab. 48 m² Bajo exterior sin ascensor 3 minutos
Piso en calle industria  Puerta del Ángel  Madrid,1.050€/mes,1 hab. 50 m² Planta 1ª exterior con ascensor 10 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,"3.900€/mes
Garaje incluido",4 hab. 210 m² Planta 3ª exterior con ascensor 7 minutos
Piso en Blasco de Garay  Arapiles  Madrid,1.900€/mes,2 hab. 92 m² Planta 6ª exterior con ascensor
Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,"1.225€/mes
Garaje incluido",2 hab. 76 m² Planta 5ª con ascensor 10 minutos
Piso en calle Minas  7  Malasaña-Universidad  Madrid,950€/mes,2 hab. 50 m² Planta 2ª interior sin ascensor
Piso en Berruguete  Berruguete  Madrid,915€/mes,2 hab. 40 m² Planta 2ª interior sin ascensor 20 minutos
Piso en Recoletos  Madrid,"2.700€/mes
3.000 € 10%",2 hab. 135 m² Planta 3ª exterior con ascensor
Piso en calle de Carranza  4  Trafalgar  Madrid,850€/mes,1 hab. 30 m² Planta 1ª interior sin ascensor 24 minutos
Piso en calle de Amaniel  Malasaña-Universidad  Madrid,1.300€/mes,1 hab. 65 m² Planta 1ª exterior con ascensor
Piso en calle de la Virgen de los Peligros  Huertas-Cortes  Madrid,1.200€/mes,1 hab. 60 m² Planta 1ª exterior con ascensor 28 minutos
Estudio en Quintana  Madrid,850€/mes,33 m² Bajo exterior sin ascensor 30 ago
Piso en calle de Alfonso VI  6  Palacio  Madrid,800€/mes,2 hab. 58 m² Planta 1ª exterior sin ascensor 28 minutos
Estudio en Quintana  Madrid,650€/mes,29 m² Bajo exterior sin ascensor 04 sep
Ático en calle de Ángel Muñoz  San Juan Bautista  Madrid,2.000€/mes,2 hab. 96 m² Planta 3ª exterior con ascensor 27 minutos
Piso en Huertas-Cortes  Madrid,"3.500€/mes
Garaje incluido",3 hab. 129 m² Planta 6ª exterior con ascensor
Piso en calle de bravo Murillo  297  Valdeacederas  Madrid,850€/mes,3 hab. 65 m² Planta 2ª interior con ascensor 32 minutos
Dúplex en calle de Palafox  Trafalgar  Madrid,4.100€/mes,2 hab. 108 m² Planta 4ª exterior con ascensor
Piso en Bernabéu-Hispanoamérica  Madrid,"4.800€/mes
Garaje incluido",5 hab. 397 m² Planta 4ª exterior con ascensor 40 minutos
Estudio en calle de San Lorenzo  Chueca-Justicia  Madrid,2.200€/mes,50 m² Bajo exterior con ascensor
Piso en Goya  Madrid,"2.450€/mes
Garaje incluido",2 hab. 100 m² Planta 5ª exterior con ascensor 42 minutos
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
Dúplex en paseo de Juan XXIII  40  Ciudad Universitaria  Madrid,2.200€/mes,3 hab. 130 m² Planta 11ª exterior con ascensor 43 minutos
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
